country,immigration_flow
Afghanistan,81305
Albania,5540
Algeria,39655
Andorra,0
Angola,925
Antigua and Barbuda,705
Argentina,3125
Armenia,2035
Australia,15985
Austria,900
Azerbaijan,2500
Azores,0
Bahama Islands,2155
Bahrain,130
Bangladesh,34080
Barbados,1950
Belarus,2270
Belgium,4695
Belize,465
Benin,4215
Bermuda,0
Bhutan,630
Bolivia,1105
Bosnia-Herzegovina,960
Botswana,400
Brazil,50365
Brunei,5
Bulgaria,2005
Burkina-Faso,3130
Burundi,10805
Cambodia,1920
Cameroon,50885
Cape Verde Islands,10
Central African Republic,3040
Chad,1680
Chile,4830
China,273640
Colombia,32595
Comoros,20
Congo,27785
Costa Rica,1690
Country not stated,0
Croatia,3580
Cuba,7860
Curacao,0
Cyprus,45
Czech Republic,2790
Denmark,680
Djibouti,2490
Dominica,190
Dominican Republic,6885
East Timor,0
Ecuador,3850
Egypt,29775
El Salvador,6375
Equatorial Guinea,0
Eritrea,63635
Estonia,160
Ethiopia,22575
Fiji,1225
Finland,810
France,79760
French Polynesia,0
Gabon Republic,460
Gambia,545
Georgia,1705
Germany,11515
Ghana,9305
Greece,3570
Grenada,875
Guadeloupe,0
Guatemala,2345
Guinea,3860
Guinea-Bissau,0
Guyana,4255
Haiti,27055
Holy See,0
Honduras,3690
Hong Kong SAR,24660
Hungary,5930
Iceland,95
India,827765
Indonesia,4710
Iran,81215
Iraq,32875
Ireland,16185
Israel,14070
Italy,11020
Ivory Coast,18380
Jamaica,36375
Japan,9955
Jordan,9730
Kazakhstan,3890
Kenya,6525
Kiribati,0
Korea,49120
Kosovo,1655
Kuwait,130
Kyrgyzstan,1175
Laos,20
Latvia,745
Lebanon,24385
Lesotho,0
Liberia,730
Libya,4840
Liechtenstein,0
Lithuania,1045
Luxembourg,10
Macau SAR,80
Macedonia,850
Madagascar,2160
Malawi,135
Malaysia,3490
Maldives,0
Mali,2785
Malta,10
Marshall Islands,0
Mauritania,705
Mauritius,8130
Mexico,40410
Micronesia,0
Moldova,4240
Monaco,0
Mongolia,855
Montenegro,50
Morocco,38215
Mozambique,15
Myanmar (Burma),2310
Namibia,790
Nauru,0
Nepal,12725
Netherlands,4595
Netherlands Antilles,0
Nevis,0
New Caledonia,0
New Zealand,4645
Nicaragua,1715
Niger,635
Nigeria,116385
Northern Mariana Islands,0
Norway,470
Oman,15
Other,30
Pakistan,98580
Palau,0
Palestinian Authority (Gaza/West Bank),5920
Panama,505
Papua New Guinea,10
Paraguay,370
Peru,5605
Philippines,302670
Poland,7315
Portugal,8045
Puerto Rico,0
Qatar,5
Reunion,0
Romania,7225
Russia,19595
Rwanda,6185
Samoa,0
San Marino,0
Sao Tome and Principe,0
Saudi Arabia,2475
Senegal,6650
Serbia,3920
Seychelles,0
Sierra Leone,560
Singapore,2695
Sint-Maarten,0
Slovak Republic,2465
Slovenia,155
Solomon Islands,20
Somalia,24930
South Africa,15105
South Sudan,1990
Spain,6460
Sri Lanka,21560
St. Kitts-Nevis,210
St. Lucia,2630
St. Vincent and the Grenadines,3165
Stateless,9735
Sudan,10790
Surinam,15
Swaziland,65
Sweden,1965
Switzerland,2155
Syria,113905
Taiwan,9185
Tajikistan,320
Tanzania,2020
Thailand,4635
Togo,4180
Tonga,0
Trinidad and Tobago,4405
Tunisia,25050
Turkey,21195
Turkmenistan,105
Tuvalu,0
Uganda,4235
Ukraine,32730
United Arab Emirates,50
United Kingdom and Overseas Territories,50770
United States of America,94205
Uruguay,335
Uzbekistan,1535
Vanuatu,0
Venezuela,15365
Vietnam,41200
Virgin Islands,0
Western Sahara,0
Yemen,5875
Zambia,605
Zimbabwe,4610
